departement;id;nom;population;longitude;latitude
1;chateau-gaillard;CHATEAU-GAILLARD;1818;5.3;45.9667
1;premeyzel;PREMEYZEL;234;5.65;45.6833
1;arandas;ARANDAS;163;5.48333;45.9
1;chatenay-01;CHATENAY;352;5.2;46.0333
1;innimond;INNIMOND;114;5.56667;45.7833
1;boz;BOZ;496;4.9;46.4
1;briord;BRIORD;893;5.46667;45.7833
1;reyrieux;REYRIEUX;4093;4.81667;45.9333
1;matafelon-granges;MATAFELON-GRANGES;652;5.56667;46.2667
1;drom;DROM;209;5.36667;46.2167
1;chatillon-en-michaille;CHATILLON-EN-MICHAILLE;3120;5.78333;46.1333
1;polliat;POLLIAT;2403;5.13333;46.25
1;vesancy;VESANCY;526;6.08333;46.35
1;massieux;MASSIEUX;2428;4.83333;45.9167
1;saint-cyr-sur-menthon;SAINT-CYR-SUR-MENTHON;1636;4.98333;46.2667
1;serrieres-sur-ain;SERRIERES-SUR-AIN;119;5.45;46.15
1;nivollet-montgriffon;NIVOLLET-MONTGRIFFON;143;5.43333;45.9833
1;izernore;IZERNORE;2278;5.55;46.2167
1;saint-nizier-le-desert;SAINT-NIZIER-LE-DESERT;880;5.15;46.05
1;guereins;GUEREINS;1308;4.78333;46.1
1;illiat;ILLIAT;570;4.88333;46.1833
1;trancliere;LA TRANCLIERE;301;5.26667;46.1167
1;saint-didier-de-formans;SAINT-DIDIER-DE-FORMANS;1792;4.78333;45.95
1;merignat;MERIGNAT;139;5.43333;46.0667
1;saint-eloi-01;SAINT-ELOI;399;5.15;45.9333
1;chapelle-du-chatelard;LA CHAPELLE-DU-CHATELARD;341;5.03333;46.0667
1;saint-jean-de-niost;SAINT-JEAN-DE-NIOST;1421;5.21667;45.8333
1;savigneux-01;SAVIGNEUX;1204;4.85;46
1;nattages;NATTAGES;564;5.76667;45.7333
1;saint-beno?Æt-01;SAINT-BENOIT;773;5.58333;45.7
1;douvres;DOUVRES;962;5.36667;45.9833
1;francheleins;FRANCHELEINS;1323;4.8;46.0667
1;dortan;DORTAN;1996;5.66667;46.3167
1;saint-germain-les-paroisses;SAINT-GERMAIN-LES-PAROISSES;387;5.61667;45.7667
1;miribel-01;MIRIBEL;9066;4.95306;45.8245
1;lancrans;LANCRANS;1052;5.83333;46.1333
1;echenevex;ECHENEVEX;1631;6.03333;46.3167
1;saint-jean-sur-veyle;SAINT-JEAN-SUR-VEYLE;1082;4.91667;46.25
1;billiat;BILLIAT;484;5.78333;46.0667
1;abergement-de-varey;L'ABERGEMENT-DE-VAREY;221;5.41667;46
1;villeneuve-01;VILLENEUVE;1383;4.83667;46.0212
1;villars-les-dombes;VILLARS-LES-DOMBES;4399;5.01667;46
1;thezillieu;THEZILLIEU;324;5.6;45.8833
1;saint-etienne-sur-reyssouze;SAINT-ETIENNE-SUR-REYSSOUZE;531;5;46.4
1;souclin;SOUCLIN;261;5.41667;45.8667
1;saint-just-01;SAINT-JUST;881;5.28;46.1903
1;civrieux;CIVRIEUX;1362;4.88333;45.9167
1;argis;ARGIS;421;5.48333;45.9333
1;talissieu;TALISSIEU;425;5.71667;45.8667
1;birieux;BIRIEUX;236;5.03333;45.95
1;saint-julien-sur-veyle;SAINT-JULIEN-SUR-VEYLE;715;4.95;46.2
1;thoiry-01;THOIRY;5205;5.97973;46.2364
1;laiz;LAIZ;1130;4.88333;46.25
1;cressin-rochefort;CRESSIN-ROCHEFORT;374;5.76667;45.7667
1;saint-champ;SAINT-CHAMP;139;5.73333;45.7833
1;saint-georges-sur-renon;SAINT-GEORGES-SUR-RENON;197;5.03333;46.1
1;lantenay-01;LANTENAY;257;5.53333;46.05
1;vernoux;VERNOUX;285;5.11667;46.4833
1;cormaranche-en-bugey;CORMARANCHE-EN-BUGEY;859;5.6;45.95
1;sainte-euphemie;SAINTE-EUPHEMIE;1482;4.78333;45.9667
1;beaupont;BEAUPONT;624;5.26667;46.4
1;brens-01;BRENS;1158;5.69473;45.7187
1;ramasse;RAMASSE;250;5.35;46.2
1;divonne-les-bains;DIVONNE-LES-BAINS;8160;6.13333;46.3667
1;leaz;LEAZ;569;5.88333;46.1
1;villes;VILLES;385;5.78333;46.0833
1;saint-julien-sur-reyssouze;SAINT-JULIEN-SUR-REYSSOUZE;668;5.11667;46.4
1;groslee;GROSLEE;353;5.56667;45.7167
1;vandeins;VANDEINS;619;5.08333;46.2167
1;verjon;VERJON;250;5.35;46.35
1;saint-andre-sur-vieux-jonc;SAINT-ANDRE-SUR-VIEUX-JONC;1079;5.06667;46.15
1;saint-andre-d-huiriat;SAINT-ANDRE-D'HUIRIAT;543;4.91667;46.2167
1;grilly;GRILLY;762;6.11667;46.3333
1;cessy;CESSY;3992;6.06667;46.3167
1;ordonnaz;ORDONNAZ;141;5.53333;45.8333
1;vescours;VESCOURS;208;5.03333;46.4667
1;meillonnas;MEILLONNAS;1298;5.35;46.25
1;geovreisset;GEOVREISSET;903;5.6;46.25
1;ceyzerieu;CEYZERIEU;929;5.73333;45.8333
1;beard-geovreissiat;BEARD-GEOVREISSIAT;925;5.56667;46.2
1;burbanche;LA BURBANCHE;72;5.56667;45.85
1;perrex;PERREX;826;4.98333;46.2333
1;villemotier;VILLEMOTIER;632;5.31667;46.35
1;jasseron;JASSERON;1552;5.33333;46.2167
1;corveissiat;CORVEISSIAT;602;5.48333;46.2333
1;journans;JOURNANS;324;5.33333;46.15
1;sermoyer;SERMOYER;669;4.98333;46.5
1;charix;CHARIX;294;5.68333;46.1833
1;arbignieu;ARBIGNIEU;480;5.65;45.7333
1;leyssard;LEYSSARD;153;5.46667;46.1667
1;saint-jean-de-thurigneux;SAINT-JEAN-DE-THURIGNEUX;710;4.88333;45.95
1;frans;FRANS;1984;4.78333;45.9833
1;tenay;TENAY;1120;5.5;45.9167
1;bage-la-ville;BAGE-LA-VILLE;3040;4.95;46.3167
1;montmerle-sur-saone;MONTMERLE-SUR-SAONE;3823;4.76667;46.0833
1;courmangoux;COURMANGOUX;507;5.36667;46.3333
1;baneins;BANEINS;572;4.9;46.1167
1;lagnieu;LAGNIEU;6756;5.35;45.9
1;attignat;ATTIGNAT;2936;5.16667;46.2833
1;saint-andre-de-bage;SAINT-ANDRE-DE-BAGE;635;4.91667;46.3
1;pont-de-vaux;PONT-DE-VAUX;2205;4.93333;46.4333
1;amberieu-en-bugey;AMBERIEU-EN-BUGEY;13835;5.35;45.95
1;peyzieux-sur-saone;PEYZIEUX-SUR-SAONE;473;4.81667;46.1167
1;crozet-01;CROZET;1862;6.01251;46.2806
1;seyssel-01;SEYSSEL;942;5.83194;45.9597
1;beynost;BEYNOST;4475;5;45.8333
1;versonnex-01;VERSONNEX;2144;6.09723;46.3023
1;saint-laurent-sur-saone;SAINT-LAURENT-SUR-SAONE;1749;4.83333;46.3
1;artemare;ARTEMARE;1126;5.7;45.8667
1;montracol;MONTRACOL;967;5.11667;46.1833
1;parves;PARVES;360;5.75;45.75
1;pugieu;PUGIEU;168;5.65;45.8167
1;virieu-le-grand;VIRIEU-LE-GRAND;1156;5.65;45.85
1;saint-remy-01;SAINT-REMY;906;5.16667;46.1833
1;rance;RANCE;641;4.86667;45.9667
1;grieges;GRIEGES;1899;4.85;46.25
1;grand-corent;GRAND-CORENT;161;5.43333;46.2
1;outriaz;OUTRIAZ;256;5.55;46.0667
1;montagnieu-01;MONTAGNIEU;495;5.46667;45.8
1;champagne-en-valromey;CHAMPAGNE-EN-VALROMEY;765;5.68333;45.9
1;amberieux-en-dombes;AMBERIEUX-EN-DOMBES;1616;4.9;46
1;boisse-01;LA BOISSE;2928;5.03333;45.85
1;parcieux;PARCIEUX;1095;4.81667;45.9167
1;saint-didier-d-aussiat;SAINT-DIDIER-D'AUSSIAT;863;5.06667;46.3
1;saint-nizier-le-bouchoux;SAINT-NIZIER-LE-BOUCHOUX;703;5.15;46.45
1;ars-sur-formans;ARS-SUR-FORMANS;1367;4.81667;45.9833
1;anglefort;ANGLEFORT;994;5.80833;45.9167
1;corlier;CORLIER;124;5.5;46.0333
1;ferney-voltaire;FERNEY-VOLTAIRE;8025;6.11667;46.25
1;saint-maurice-de-remens;SAINT-MAURICE-DE-REMENS;709;5.28333;45.95
1;chatillon-la-palud;CHATILLON-LA-PALUD;1562;5.25;45.9667
1;saint-sulpice-01;SAINT-SULPICE;142;5.04167;46.3203
1;saint-bois;SAINT-BOIS;123;5.63333;45.7
1;virignin;VIRIGNIN;855;5.71667;45.7167
1;premillieu;PREMILLIEU;36;5.56667;45.8667
1;genouilleux;GENOUILLEUX;609;4.78333;46.1167
1;reyssouze;REYSSOUZE;929;4.91667;46.4333
1;collonges;COLLONGES;1897;5.9;46.1333
1;saint-germain-de-joux;SAINT-GERMAIN-DE-JOUX;480;5.73333;46.1833
1;bregnier-cordon;BREGNIER-CORDON;832;5.61667;45.65
1;saint-martin-le-chatel;SAINT-MARTIN-LE-CHATEL;790;5.11667;46.2833
1;marignieu;MARIGNIEU;148;5.71667;45.8
1;neyrolles;LES NEYROLLES;637;5.63333;46.1333
1;sulignat;SULIGNAT;569;4.96667;46.1667
1;beny;BENY;724;5.28333;46.3333
1;injoux-genissiat;INJOUX-GENISSIAT;1055;5.78333;46.05
1;chanay;CHANAY;617;5.78333;46
1;chatillon-sur-chalaronne;CHATILLON-SUR-CHALARONNE;4922;4.96667;46.1167
1;farges-01;FARGES;854;5.91667;46.1667
1;saint-alban-01;SAINT-ALBAN;163;5.45;46.1
1;curtafond;CURTAFOND;702;5.08333;46.2667
1;viriat;VIRIAT;6006;5.21667;46.25
1;belleydoux;BELLEYDOUX;321;5.76667;46.25
1;bage-le-chatel;BAGE-LE-CHATEL;796;4.93333;46.3
1;sainte-olive;SAINTE-OLIVE;303;4.93333;46.0167
1;saint-genis-sur-menthon;SAINT-GENIS-SUR-MENTHON;408;5.01667;46.2833
1;domsure;DOMSURE;473;5.3;46.4167
1;chavannes-sur-suran;CHAVANNES-SUR-SURAN;644;5.41667;46.2667
1;priay;PRIAY;1488;5.28333;46
1;peyrieu;PEYRIEU;821;5.67751;45.6767
1;lalleyriat;LALLEYRIAT;239;5.71667;46.15
1;sergy-01;SERGY;1977;6;46.25
1;saint-martin-du-frene;SAINT-MARTIN-DU-FRENE;1077;5.55;46.1333
1;saint-maurice-de-beynost;SAINT-MAURICE-DE-BEYNOST;3865;4.96667;45.8333
1;servas-01;SERVAS;1184;5.16667;46.1333
1;cuzieu-01;CUZIEU;407;5.67445;45.8192
1;jayat;JAYAT;1049;5.11667;46.3667
1;lavours;LAVOURS;148;5.76667;45.8
1;chevroux;CHEVROUX;933;4.95;46.3833
1;pollieu;POLLIEU;157;5.75;45.8
1;beligneux;BELIGNEUX;2905;5.11667;45.8667
1;brenaz;BRENAZ;92;5.71667;45.95
1;benonces;BENONCES;275;5.48333;45.8333
1;saint-jean-le-vieux-01;SAINT-JEAN-LE-VIEUX;1609;5.38917;46.0284
1;beauregard-01;BEAUREGARD;870;4.75139;46.002
1;oyonnax;OYONNAX;22650;5.66667;46.25
1;mionnay;MIONNAY;2077;4.93333;45.9
1;germagnat;GERMAGNAT;145;5.45;46.3167
1;coligny;COLIGNY;1154;5.35;46.3833
1;simandre-sur-suran;SIMANDRE-SUR-SURAN;650;5.41667;46.2167
1;abergement-clemenciat;L'ABERGEMENT-CLEMENCIAT;784;4.91667;46.15
1;lescheroux;LESCHEROUX;683;5.15;46.4
1;ornex;ORNEX;3531;6.1;46.2833
1;dommartin-01;DOMMARTIN;841;4.99167;46.3417
1;lompnas;LOMPNAS;149;5.51667;45.8
1;bettant;BETTANT;724;5.36667;45.9333
1;armix;ARMIX;20;5.58333;45.85
1;feillens;FEILLENS;3115;4.88333;46.3333
1;chavornay;CHAVORNAY;199;5.7;45.8833
1;challex;CHALLEX;1225;5.96667;46.1833
1;vongnes;VONGNES;74;5.71667;45.8167
1;magnieu;MAGNIEU;419;5.71667;45.7833
1;groissiat;GROISSIAT;1143;5.6;46.2167
1;dompierre-sur-chalaronne;DOMPIERRE-SUR-CHALARONNE;389;4.9;46.1333
1;montluel;MONTLUEL;6999;5.05;45.85
1;poizat;LE POIZAT;422;5.7;46.15
1;hostiaz;HOSTIAZ;82;5.53333;45.9
1;montanges;MONTANGES;330;5.8;46.1667
1;sainte-julie;SAINTE-JULIE;889;5.28333;45.8833
1;bey-01;BEY;245;4.85;46.2167
1;sonthonnax-la-montagne;SONTHONNAX-LA-MONTAGNE;320;5.53333;46.2333
1;mezeriat;MEZERIAT;2072;5.03333;46.2333
1;bellignat;BELLIGNAT;3537;5.61667;46.25
1;saint-marcel-01;SAINT-MARCEL;1212;4.98723;45.9487
1;belley;BELLEY;8755;5.68333;45.7667
1;corbonod;CORBONOD;1176;5.81667;45.95
1;neyron;NEYRON;2472;4.93223;45.8148
1;saint-paul-de-varax;SAINT-PAUL-DE-VARAX;1551;5.13333;46.1
1;pressiat;PRESSIAT;224;5.38333;46.3333
1;chazey-bons;CHAZEY-BONS;744;5.68333;45.8
1;servignat;SERVIGNAT;160;5.06667;46.4333
1;marlieux;MARLIEUX;887;5.06667;46.0667
1;andert-et-condon;ANDERT-ET-CONDON;340;5.65;45.8
1;hautecourt-romaneche;HAUTECOURT-ROMANECHE;773;5.41667;46.1583
1;crottet;CROTTET;1722;4.9;46.2833
1;druillat;DRUILLAT;1134;5.31667;46.0667
1;dompierre-sur-veyle;DOMPIERRE-SUR-VEYLE;1226;5.2;46.0667
1;perouges;PEROUGES;1204;5.18333;45.9
1;rignieux-le-franc;RIGNIEUX-LE-FRANC;950;5.18333;45.9333
1;giron;GIRON;162;5.76667;46.2333
1;cerdon-01;CERDON;741;5.46667;46.0833
1;cruzilles-les-mepillat;CRUZILLES-LES-MEPILLAT;818;4.88333;46.2167
1;lelex;LELEX;225;5.95;46.3
1;lhopital;LHOPITAL;59;5.77834;46.0217
1;segny;SEGNY;1649;6.08333;46.3
1;cheignieu-la-balme;CHEIGNIEU-LA-BALME;157;5.61667;45.8333
1;saint-vulbas;SAINT-VULBAS;957;5.28333;45.8333
1;echallon;ECHALLON;772;5.74139;46.21
1;montellier;LE MONTELLIER;244;5.06667;45.9333
1;martignat;MARTIGNAT;1604;5.6;46.2167
1;ceyzeriat;CEYZERIAT;2738;5.31667;46.1667
1;montcet;MONTCET;665;5.11667;46.2
1;vonnas;VONNAS;2790;5;46.2167
1;buellas;BUELLAS;1669;5.13333;46.2
1;saint-benigne;SAINT-BENIGNE;1161;4.96667;46.4333
1;chevillard;CHEVILLARD;162;5.58333;46.1167
1;bouligneux;BOULIGNEUX;309;5;46.0167
1;contrevoz;CONTREVOZ;539;5.63333;45.8
1;champdor;CHAMPDOR;464;5.6;46.0167
1;port-01;PORT;847;5.56667;46.1667
1;surjoux;SURJOUX;78;5.8;46.0167
1;champfromier;CHAMPFROMIER;677;5.81667;46.2
1;vesines;VESINES;91;4.86667;46.35
1;seillonnaz;SEILLONNAZ;138;5.48333;45.8
1;varambon;VARAMBON;521;5.31667;46.0333
1;grand-abergement;LE GRAND-ABERGEMENT;109;5.66667;46.0333
1;jassans-riottier;JASSANS-RIOTTIER;5976;4.75;45.9833
1;asnieres-sur-saone;ASNIERES-SUR-SAONE;73;4.88333;46.3833
1;condamine-01;CONDAMINE;404;5.56667;46.1167
1;lhuis;LHUIS;854;5.53333;45.75
1;romans-01;ROMANS;587;5.03333;46.1167
1;pizay;PIZAY;777;5.08333;45.8833
1;certines;CERTINES;1445;5.26667;46.1333
1;ruffieu;RUFFIEU;202;5.66667;46
1;meximieux;MEXIMIEUX;7268;5.2;45.9
1;saint-rambert-en-bugey;SAINT-RAMBERT-EN-BUGEY;2164;5.43333;45.95
1;ambronay;AMBRONAY;2362;5.35;46
1;cize-01;CIZE;170;5.43333;46.2
1;saint-germain-sur-renon;SAINT-GERMAIN-SUR-RENON;236;5.05;46.0833
1;villette-sur-ain;VILLETTE-SUR-AIN;673;5.26862;45.9884
1;dagneux;DAGNEUX;4099;5.06667;45.85
1;boissey-01;BOISSEY;288;5;46.3833
1;salavre;SALAVRE;284;5.35;46.3667
1;brion-01;BRION;517;5.55251;46.1728
1;labalme;LABALME;204;5.48333;46.1
1;sauverny;SAUVERNY;1078;6.11667;46.3167
1;montceaux;MONTCEAUX;1164;4.8;46.1
1;brenod;BRENOD;544;5.6;46.0667
1;miserieux;MISERIEUX;1762;4.81667;45.9833
1;prevessin-moens;PREVESSIN-MOENS;5980;6.08333;46.25
1;lent-01;LENT;1328;5.2;46.1167
1;marsonnas;MARSONNAS;1005;5.06667;46.3333
1;manziat;MANZIAT;1924;4.9;46.35
1;trevoux-01;TREVOUX;6730;4.76667;45.9333
1;bellegarde-sur-valserine;BELLEGARDE-SUR-VALSERINE;11790;5.81667;46.1
1;bourg-en-bresse;BOURG-EN-BRESSE;40088;5.21667;46.2
1;confort;CONFORT;525;5.81667;46.15
1;saint-denis-les-bourg;SAINT-DENIS-LES-BOURG;5405;5.2;46.2
1;massignieu-de-rives;MASSIGNIEU-DE-RIVES;608;5.76667;45.75
1;saint-etienne-sur-chalaronne;SAINT-ETIENNE-SUR-CHALARONNE;1468;4.86667;46.15
1;bohas-meyriat-rignat;BOHAS-MEYRIAT-RIGNAT;811;5.4;46.1333
1;chevry-01;CHEVRY;1235;6.03333;46.2833
1;fareins;FAREINS;2137;4.76667;46.0167
1;gorrevod;GORREVOD;799;4.95;46.4167
1;valeins;VALEINS;88;4.86667;46.1167
1;vieu-d-izenave;VIEU-D'IZENAVE;693;5.53333;46.0833
1;toussieux;TOUSSIEUX;769;4.83333;45.9667
1;arbigny;ARBIGNY;399;4.96667;46.4667
1;malafretaz;MALAFRETAZ;952;5.15;46.3167
1;samognat;SAMOGNAT;718;5.58333;46.25
1;cras-sur-reyssouze;CRAS-SUR-REYSSOUZE;1256;5.16667;46.3
1;messimy-sur-saone;MESSIMY-SUR-SAONE;1209;4.76473;46.0484
1;pougny-01;POUGNY;802;5.95;46.1333
1;sandrans;SANDRANS;524;4.98333;46.0667
1;pont-de-veyle;PONT-DE-VEYLE;1593;4.88333;46.2667
1;mijoux;MIJOUX;379;6;46.3667
1;saint-jean-de-gonville;SAINT-JEAN-DE-GONVILLE;1496;5.95;46.2167
1;saint-andre-le-bouchoux;SAINT-ANDRE-LE-BOUCHOUX;316;5.08333;46.1167
1;chaneins;CHANEINS;820;4.85;46.1
1;joyeux;JOYEUX;223;5.1;45.95
1;tramoyes;TRAMOYES;1674;4.96667;45.8667
1;biziat;BIZIAT;797;4.93333;46.2167
1;izenave;IZENAVE;164;5.53333;46.0333
1;belmont-luthezieu;BELMONT-LUTHEZIEU;514;5.66167;45.8795
1;arbent;ARBENT;3476;5.68333;46.3
1;sutrieu;SUTRIEU;235;5.65;45.95
1;serrieres-de-briord;SERRIERES-DE-BRIORD;1174;5.45445;45.8081
1;aranc;ARANC;302;5.5;46
1;chaley;CHALEY;127;5.53333;45.95
1;curciat-dongalon;CURCIAT-DONGALON;456;5.15;46.4667
1;loyettes;LOYETTES;2645;5.2;45.7667
1;gex;GEX;10372;6.06667;46.3333
1;courtes;COURTES;266;5.1;46.4667
1;bereziat;BEREZIAT;445;5.05;46.3667
1;lapeyrouse-01;LAPEYROUSE;292;4.96667;45.9833
1;apremont-01;APREMONT;363;5.65833;46.2083
1;villieu-loyes-mollon;VILLIEU-LOYES-MOLLON;3095;5.22223;45.9206
1;leyment;LEYMENT;1273;5.3;45.9167
1;etrez;ETREZ;803;5.18333;46.3333
2;gercy;GERCY;295;3.86667;49.8167
2;villemontoire;VILLEMONTOIRE;210;3.33333;49.3
2;brancourt-le-grand;BRANCOURT-LE-GRAND;619;3.38333;49.9667
2;licy-clignon;LICY-CLIGNON;87;3.26667;49.1
2;proisy;PROISY;318;3.73333;49.9
2;chambry-02;CHAMBRY;718;3.65;49.6
2;mont-saint-jean-02;MONT-SAINT-JEAN;80;4.2;49.7833
2;morgny-en-thierache;MORGNY-EN-THIERACHE;110;4.06667;49.7667
2;mesnil-saint-laurent;MESNIL-SAINT-LAURENT;450;3.35;49.8333
2;annois;ANNOIS;383;3.16667;49.7167
2;brunehamel;BRUNEHAMEL;538;4.18333;49.7667
2;audignicourt;AUDIGNICOURT;102;3.13333;49.4833
2;montigny-sur-crecy;MONTIGNY-SUR-CRECY;309;3.58333;49.7167
2;lor;LOR;142;4.05;49.5333
2;chivres-en-laonnois;CHIVRES-EN-LAONNOIS;367;3.85;49.6333
2;saint-gobain;SAINT-GOBAIN;2337;3.38333;49.6
2;ugny-le-gay;UGNY-LE-GAY;163;3.16667;49.6667
2;happencourt;HAPPENCOURT;148;3.18333;49.7833
2;prouvais;PROUVAIS;379;3.98333;49.4667
2;azy-sur-marne;AZY-SUR-MARNE;387;3.36667;49
2;terny-sorny;TERNY-SORNY;304;3.36667;49.45
2;droizy;DROIZY;75;3.38333;49.2833
2;pignicourt;PIGNICOURT;164;4.03333;49.4167
2;moussy-verneuil;MOUSSY-VERNEUIL;127;3.63333;49.4167
2;aguilcourt;AGUILCOURT;349;3.96667;49.4
2;montaigu-02;MONTAIGU;732;3.83333;49.5333
2;moulins-02;MOULINS;99;3.68333;49.4167
2;saulchery;SAULCHERY;658;3.3;48.9833
2;nanteuil-la-fosse;NANTEUIL-LA-FOSSE;147;3.45;49.4333
2;guignicourt;GUIGNICOURT;2111;3.96667;49.4333
2;bucy-le-long;BUCY-LE-LONG;1955;3.38333;49.4
