File name : File_VRP2_100000.txt
Number of vertex : 39
--- Vertex --- 
0 nice
1 aix-en-provence
2 marseille
3 caen
4 dijon
5 besancon
6 brest
7 n?�mes
8 toulouse
9 bordeaux
10 montpellier
11 rennes
12 tours
13 grenoble
14 saint-etienne
15 nantes
16 orleans
17 angers
18 reims
19 nancy
20 metz
21 lille
22 clermont-ferrand
23 perpignan
24 strasbourg
25 mulhouse
26 lyon
27 villeurbanne
28 le-mans
29 paris
30 rouen
31 havre
32 amiens
33 toulon
34 limoges
35 boulogne-billancourt
36 montreuil-93
37 saint-denis-93
38 argenteuil
--- Edges --- 
0 0 1 147,58
1 0 2 157,81
2 0 3 843,26
3 0 4 438,64
4 0 5 406,42
5 0 6 1045,01
6 0 7 233,59
7 0 8 468,55
8 0 9 635,49
9 0 10 271,39
10 0 11 845,99
11 0 12 655,54
12 0 13 203,74
13 0 14 297,15
14 0 15 790,14
15 0 16 626,33
16 0 17 737,75
17 0 18 665,06
18 0 19 560,59
19 0 20 610,5
20 0 21 833,88
21 0 22 402,81
22 0 23 371,98
23 0 24 544,97
24 0 25 450,89
25 0 26 297,99
26 0 27 296,55
27 0 28 726,06
28 0 29 686,97
29 0 30 793,19
30 0 31 843,72
31 0 32 786,11
32 0 33 124,71
33 0 34 530,93
34 0 35 688,56
35 0 36 683,87
36 0 37 693,09
37 0 38 699,14
38 1 0 147,58
39 1 2 26,74
40 1 3 769,56
41 1 4 422,42
42 1 5 416,39
43 1 6 938,09
44 1 7 93,39
45 1 8 322,69
46 1 9 500,22
47 1 10 125,24
48 1 11 748,75
49 1 12 566,56
50 1 13 183,22
51 1 14 226,87
52 1 15 682,44
53 1 16 559,76
54 1 17 639,7
55 1 18 645,36
56 1 19 576,33
57 1 20 625,92
58 1 21 810,36
59 1 22 311,99
60 1 23 227,81
61 1 24 589,88
62 1 25 492,1
63 1 26 252,15
64 1 27 252,41
65 1 28 641,86
66 1 29 638,81
67 1 30 736,27
68 1 31 778,01
69 1 32 747,82
70 1 33 61,56
