File name : File_VRP2_200000.txt
Number of vertex : 11
--- Vertex --- 
0 nice
1 marseille
2 toulouse
3 bordeaux
4 montpellier
5 rennes
6 nantes
7 lille
8 strasbourg
9 lyon
10 paris
--- Edges --- 
0 0 1 157,81
1 0 2 468,55
2 0 3 635,49
3 0 4 271,39
4 0 5 845,99
5 0 6 790,14
6 0 7 833,88
7 0 8 544,97
8 0 9 297,99
9 0 10 686,97
10 1 0 157,81
11 1 2 320,42
12 1 3 505,07
13 1 4 125,3
14 1 5 764,44
15 1 6 695,96
16 1 7 835,23
17 1 8 616,44
18 1 9 277,36
19 1 10 661,94
20 2 0 468,55
21 2 1 320,42
22 2 3 210,49
23 2 4 197,5
24 2 5 554,4
25 2 6 465,16
26 2 7 792,61
27 2 8 738,09
28 2 9 361,23
29 2 10 589,72
30 3 0 635,49
31 3 1 505,07
32 3 2 210,49
33 3 4 380,59
34 3 5 371,77
35 3 6 275,98
36 3 7 700,4
37 3 8 759,13
38 3 9 435,75
39 3 10 499,96
40 4 0 271,39
41 4 1 125,3
42 4 2 197,5
43 4 3 380,59
44 4 5 659,52
45 4 6 584,88
46 4 7 785,37
47 4 8 629,75
48 4 9 252
49 4 10 597,38
50 5 0 845,99
51 5 1 764,44
52 5 2 554,4
53 5 3 371,77
54 5 4 659,52
55 5 6 96,99
56 5 7 446,15
57 5 8 699,88
58 5 9 559,25
59 5 10 309,54
60 6 0 790,14
61 6 1 695,96
62 6 2 465,16
63 6 3 275,98
64 6 4 584,88
65 6 5 96,99
66 6 7 508,4
67 6 8 710,06
68 6 9 515,86
69 6 10 342,7
70 7 0 833,88
71 7 1 835,23
72 7 2 792,61
73 7 3 700,4
74 7 4 785,37
75 7 5 446,15
76 7 6 508,4
77 7 8 407,57
78 7 9 558,32
79 7 10 204,12
80 8 0 544,97
81 8 1 616,44
82 8 2 738,09
83 8 3 759,13
84 8 4 629,75
85 8 5 699,88
86 8 6 710,06
87 8 7 407,57
88 8 9 383,74
89 8 10 398,09
90 9 0 297,99
91 9 1 277,36
92 9 2 361,23
93 9 3 435,75
94 9 4 252
95 9 5 559,25
96 9 6 515,86
97 9 7 558,32
98 9 8 383,74
99 9 10 393,25
100 10 0 686,97
101 10 1 661,94
102 10 2 589,72
103 10 3 499,96
104 10 4 597,38
105 10 5 309,54
106 10 6 342,7
107 10 7 204,12
108 10 8 398,09
109 10 9 393,25
